EnrollmentID,StudentID,CourseID,EnrollmentDate,Grade
E0001,S001,C006,2024-02-07,C
E0002,S001,C018,2024-08-22,A
E0003,S001,C005,2024-08-14,F
E0004,S001,C014,2024-09-24,B
E0005,S002,C008,2024-08-15,C
E0006,S002,C005,2024-01-02,B
E0007,S002,C003,2024-09-19,C
E0008,S002,C003,2024-05-31,B
E0009,S003,C012,2024-05-05,Incomplete
E0010,S003,C023,2024-04-19,Incomplete
E0011,S003,C022,2024-07-05,F
E0012,S004,C023,2024-08-17,B
E0013,S005,C009,2024-07-12,C
E0014,S006,C023,2024-06-18,F
E0015,S006,C014,2024-04-20,Incomplete
E0016,S006,C002,2024-02-07,D
E0017,S006,C006,2024-03-11,Incomplete
E0018,S007,C011,2024-01-24,B
E0019,S007,C017,2024-03-14,F
E0020,S007,C008,2024-01-04,C
E0021,S007,C020,2024-02-09,D
E0022,S008,C023,2024-11-11,A
E0023,S008,C025,2024-05-31,F
E0024,S009,C023,2024-09-13,D
E0025,S009,C010,2024-02-07,C
E0026,S009,C011,2024-09-03,A
E0027,S009,C008,2024-05-29,Incomplete
E0028,S009,C023,2024-09-14,F
E0029,S010,C011,2024-08-26,C
E0030,S010,C013,2024-10-03,C
E0031,S011,C009,2024-10-20,F
E0032,S011,C008,2024-01-29,A
E0033,S011,C016,2024-05-16,A
E0034,S011,C006,2024-10-20,F
E0035,S011,C016,2024-06-22,C
E0036,S012,C024,2024-07-22,B
E0037,S012,C002,2024-06-10,C
E0038,S012,C008,2024-06-12,B
E0039,S013,C011,2024-04-06,A
E0040,S013,C007,2024-08-28,D
E0041,S014,C012,2024-01-09,B
E0042,S014,C009,2024-11-06,F
E0043,S015,C014,2024-01-25,A
E0044,S015,C011,2024-07-04,B
E0045,S015,C002,2024-03-29,D
E0046,S015,C006,2024-05-11,D
E0047,S016,C010,2024-05-16,Incomplete
E0048,S016,C008,2024-04-05,C
E0049,S017,C025,2024-05-29,D
E0050,S017,C003,2024-01-27,B
E0051,S017,C017,2024-01-04,Incomplete
E0052,S017,C004,2024-02-28,D
E0053,S017,C007,2024-05-06,D
E0054,S018,C001,2024-05-16,A
E0055,S019,C013,2024-09-03,A
E0056,S019,C007,2024-09-24,C
E0057,S019,C006,2024-06-02,F
E0058,S019,C021,2024-04-13,C
E0059,S019,C006,2024-02-21,B
E0060,S020,C010,2024-06-20,D
E0061,S020,C025,2024-04-24,B
E0062,S020,C007,2024-01-28,C
E0063,S021,C023,2024-06-28,C
E0064,S021,C016,2024-04-01,C
E0065,S021,C015,2024-04-24,C
E0066,S021,C008,2024-10-05,F
E0067,S021,C002,2024-03-04,B
E0068,S022,C025,2024-09-07,Incomplete
E0069,S022,C018,2024-02-23,D
E0070,S022,C005,2024-06-02,B
E0071,S022,C014,2024-06-25,Incomplete
